setup_id,rank,sharpe_lb,sharpe_median,calmar,sortino,max_drawdown,support,annualized_return,volatility,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_5d,sharpe_10d,sharpe_21d,description,signal_ids
SETUP_0072,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0073,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0074,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0075,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0076,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0077,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0078,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0079,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0080,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0081,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0082,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0083,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0084,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0085,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0086,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0087,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0088,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
SETUP_0089,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,PEPS US Equity_frac_diff_px is_low AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00508, SIG_00014"
SETUP_0090,1,0.0000,0.0000,14275354523.7765,0.0000,-0.0004,12.0000,5921073.8818,0.5332,2025-04-04,2025-04-23,3.5911,12.2519,14.8288,32.3133,62.6069,XLE US Equity_realized_vol_21d z_breakout_pos AND PEPS US Equity_frac_diff_px is_low,"SIG_00014, SIG_00508"
